번호,제조사,모델명,연식,주행거리,가격
859,벤츠,GLE-클래스 W167 AMG GLE53 4MATIC+ 쿠페,22/10식,"63,713km","12,590만원"
860,벤츠,C-클래스 W205 C200 아방가르드,20/08식,"38,317km","2,680만원"
861,현대,엑센트(신형) 1.4 VVT 모던,16/08식(17년형),"88,424km",750만원
862,현대,LF 쏘나타 LPI 프리미엄,15/03식,"149,592km",880만원
863,기아,K3 트렌디,13/08식,"73,059km",690만원
864,현대,아반떼 AD 1.6 e-VGT 스마트,18/08식,"99,255km",850만원
865,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"72,240km",620만원
866,기아,니로 럭셔리,16/10식(17년형),"77,314km","1,230만원"
867,현대,더 뉴 그랜저 IG 2.5 르블랑,21/12식(22년형),"33,997km","2,500만원"
868,기아,올 뉴 K3 럭셔리,18/06식(19년형),"66,920km",990만원
869,기아,올 뉴 모닝 디럭스 트렌디,15/01식,"82,265km",390만원
870,현대,스타리아 카고 3인승 모던,24/01식,326km,52만원
871,현대,더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,21/01식,"100,591km","2,420만원"
872,기아,더 뉴 카니발 가솔린 9인승 하이리무진 노블레스 스페셜,20/01식,"48,275km","2,699만원"
873,기아,올 뉴 K7 3.0 LPI 럭셔리 (렌터카),17/05식,"139,301km","1,170만원"
874,현대,싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,13/04식,"78,580km","1,290만원"
875,기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,19/06식,"73,716km","2,300만원"
876,기아,올 뉴 K3 럭셔리,19/03식,"97,844km","1,200만원"
877,현대,더 뉴 그랜저 IG 2.5 익스클루시브,21/04식,"102,505km","2,090만원"
878,현대,아이오닉5 롱레인지 프레스티지,22/08식(23년형),"88,264km",61만원
879,기아,더 뉴 기아 레이 시그니처,25/01식,965km,"1,850만원"
880,현대,그랜저 IG 3.0 익스클루시브,17/01식,"59,265km","1,790만원"
881,현대,팰리세이드 가솔린 3.8 4WD 프레스티지,21/11식(22년형),"78,243km","2,740만원"
882,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 프레스티지,18/01식,"164,550km","1,360만원"
883,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 마스터즈 그래비티,22/06식,"78,319km","5,660만원"
884,재규어,F-TYPE 3.0 S 쿠페 X152,15/01식,"147,878km","2,650만원"
885,포르쉐,718 카이맨 4.0 GTS,21/04식,"36,000km","8,600만원"
886,기아,더 뉴 기아 레이 밴 2인승 프레스티지 스페셜,22/09식(23년형),"43,741km","1,290만원"
887,렉서스,뉴 ES350 슈프림 XV60,16/10식,"53,853km","2,290만원"
888,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,20/06식(21년형),"74,728km","2,850만원"
889,현대,스타리아 투어러 11인승 모던,23/08식,"58,965km","2,530만원"
890,기아,셀토스 디젤 1.6 2WD 프레스티지,21/11식(22년형),"63,696km","8,888만원"
891,현대,아반떼 (CN7) 1.6 스마트,22/07식(23년형),"59,290km","1,670만원"
892,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,11/02식,"172,733km",990만원
893,폭스바겐,파사트 GT(B8) 2.0 TDI 프레스티지,18/04식,"55,150km","1,850만원"
894,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,21/07식(22년형),"74,078km","9,999만원"
895,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"112,403km","2,930만원"
896,기아,올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,17/02식,"63,177km","1,730만원"
897,현대,더 뉴 그랜저 IG 3.0 LPi 프리미엄 초이스,20/03식,"63,833km","1,999만원"
898,기아,EV6 롱레인지 GT Line,22/12식(23년형),"35,931km",65만원
899,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/03식,"79,331km","2,400만원"
900,기아,더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,17/11식(18년형),"84,907km","1,950만원"
901,벤츠,GLA-클래스 X156 GLA250 4MATIC,19/09식,"40,639km","2,450만원"
902,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/06식,"176,172km","3,230만원"
903,기아,EV6 롱레인지 4WD 라이트,22/04식,"70,889km",47만원
904,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션,23/05식(24년형),"14,028km","2,470만원"
905,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 헤리티지,17/11식(18년형),"87,833km","1,750만원"
906,기아,K7 프리미어 하이브리드 노블레스,20/01식,"124,695km","1,880만원"
907,기아,쏘렌토 4세대 HEV 1.6 4WD 시그니처,22/11식(23년형),"95,136km","4,090만원"
908,기아,카니발 4세대 9인승 프레스티지,21/05식,"192,397km","1,990만원"
909,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,22/04식,"36,828km","4,370만원"
910,제네시스,GV60 스탠다드,23/05식,"49,606km",77만원
911,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,15/10식(16년형),"75,631km","1,380만원"
912,제네시스,G80 3.3 GDI 럭셔리,18/01식,"217,430km","1,030만원"
913,기아,K8 3.5 LPG 2WD 노블레스,21/07식(22년형),"77,992km","2,850만원"
914,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/12식(22년형),"84,481km","3,630만원"
915,현대,아이오닉5 롱레인지 프레스티지,22/06식,"85,113km","2,800만원"
916,현대,스타리아 카고 5인승 모던,22/10식(23년형),"62,352km","2,270만원"
917,기아,스포티지 더 볼드 디젤 2.0 2WD 프레스티지,20/07식,"103,139km",33만원
918,현대,LF 쏘나타 LPI 택시형 스타일,15/01식,"187,345km",429만원
919,KG모빌리티(쌍용),렉스턴 스포츠 칸 디젤 2.2 4WD 노블레스 (5링크),19/12식(20년형),"56,769km","2,170만원"
920,기아,카니발 4세대 9인승 프레스티지,21/06식,"183,792km","1,850만원"
921,기아,카니발 4세대 9인승 프레스티지,21/07식,"63,291km","2,600만원"
922,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,15/05식(16년형),"181,881km","1,070만원"
923,아우디,뉴 A6 55 TDI 콰트로 스포츠 C7,16/02식,"180,103km","1,990만원"
924,BMW,1시리즈 (F20) 118d 스포츠 5도어,16/12식,"94,957km","1,450만원"
925,기아,EV6 롱레인지 에어,21/11식(22년형),"90,001km","2,700만원"
926,기아,카니발 4세대 9인승 시그니처,21/06식,"60,888km","3,030만원"
927,링컨,에비에이터 2세대 3.0 블랙라벨 AWD,23/12식,"5,905km","7,650만원"
928,기아,더 뉴 쏘렌토 4세대 HEV 1.6 2WD 시그니처,24/05식,"15,985km","4,690만원"
929,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20/08식(21년형),"103,729km","2,200만원"
930,현대,그랜저 IG 2.4 익스클루시브 스페셜,19/03식,"142,275km","1,390만원"
931,볼보,S90 B5 인스크립션,20/10식(21년형),"95,618km","3,290만원"
932,기아,더 뉴 니로 1.6 HEV 트렌디,21/12식(22년형),"46,012km","1,800만원"
933,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,20/09식,"139,747km",29만원
934,제네시스,G90 3.8 AWD 프리미엄 럭셔리,21/05식,"158,632km","4,380만원"
935,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"110,688km","3,300만원"
936,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,16/10식(17년형),"107,683km","1,340만원"
937,아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,23/10식,"22,203km","5,450만원"
938,기아,K8 하이브리드 시그니처,21/06식(22년형),"85,709km","3,250만원"
939,제네시스,G90 3.8 럭셔리,20/04식,"96,042km","3,290만원"
940,기아,카니발 4세대 7인승 시그니처,22/06식(23년형),"79,988km","3,500만원"
941,벤츠,E-클래스 W213 E300e 4MATIC 익스클루시브,21/10식,"45,534km","4,949만원"
942,기아,더 K9 3.8 GDI AWD 플래티넘Ⅱ,19/07식,"48,234km","2,950만원"
943,기아,셀토스 가솔린 1.6 터보 2WD 시그니처,21/05식(22년형),"36,099km",31만원
944,기아,EV6 롱레인지 어스,21/09식(22년형),"93,766km","2,690만원"
945,현대,더 뉴 팰리세이드 가솔린 3.8 2WD 캘리그래피,22/12식(23년형),"10,442km","3,870만원"
946,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/05식,"102,901km","2,670만원"
947,현대,더 뉴 아반떼 AD 1.6 스마트 초이스,20/02식,"119,465km","1,090만원"
948,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,21/08식(22년형),"127,059km","1,400만원"
949,현대,아반떼 하이브리드 (CN7) 스마트,21/07식,"9,377km","1,570만원"
950,기아,더 뉴 레이 밴 프레스티지 스페셜(1인승),22/07식,"20,420km",960만원
951,기아,더 뉴 레이 럭셔리,20/04식,"151,329km",780만원
952,기아,더 뉴 K9 2세대 3.8 GDI AWD 베스트 셀렉션 Ⅰ,23/02식,"15,005km","4,800만원"
953,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,21/12식(22년형),"104,267km","2,560만원"
954,기아,카니발 4세대 가솔린 9인승 시그니처,20/10식(21년형),"57,170km","3,050만원"
955,기아,K5 하이브리드 3세대 노블레스,20/09식,"23,711km","2,480만원"
956,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"23,409km",750만원
957,기아,올 뉴 K3 트렌디,19/06식,"56,535km","1,150만원"
958,르노코리아(삼성),SM6 2.0 LPe SE (렌터카),20/02식,"126,354km",750만원
959,현대,더 뉴 아반떼 AD 1.6 스마트,20/01식,"100,119km","1,260만원"
960,기아,더 뉴 카니발 9인승 프레스티지,20/01식,"101,011km","1,879만원"
961,기아,카니발 4세대 9인승 노블레스,21/08식(22년형),"150,212km","2,400만원"
962,닷지,램픽업 5.7,22/02식,"29,703km","8,850만원"
963,현대,그랜저 (GN7) 3.5 LPG 2WD 프리미엄,23/01식,"56,807km","2,990만원"
964,기아,New 스포티지 디젤(VGT) 2WD TLX 고급형,08/12식(09년형),"155,545km",250만원
965,현대,아반떼 MD M16 GDI 모던,12/09식(13년형),"130,276km",570만원
966,제네시스,GV80 3.5T 가솔린 AWD,23/12식,"12,722km","6,890만원"
967,재규어,F-TYPE 3.0 컨버터블 X152,17/08식,"76,542km","3,590만원"
968,현대,싼타페 TM 디젤 2.0 2WD 프레스티지,20/06식,"143,065km","2,010만원"
969,현대,쏘나타 (DN8) 2.0 프리미엄,19/12식(20년형),"158,896km","9,999만원"
970,랜드로버,디스커버리 4 3.0 SDV6 SE,15/06식,"238,142km","9,999만원"
971,기아,스팅어 마이스터 2.5 마스터즈,21/05식,"88,812km","2,295만원"
972,제네시스,G80 (RG3) 디젤 2.2 2WD,20/12식(21년형),"147,286km","3,050만원"
973,현대,더 뉴 아반떼 (CN7) 1.6 LPi 인스퍼레이션,23/04식(24년형),"10,094km","2,100만원"
974,현대,캐스퍼 터보 디 에센셜,22/10식(23년형),"21,476km","1,710만원"
975,쉐보레(GM대우),더 뉴 스파크 LT,20/02식,"11,801km",890만원
976,BMW,X6 (E71) 35i,08/12식,"185,846km",790만원
977,BMW,3시리즈 (F30) 320d M 스포츠 쉐도우,18/12식,"98,699km","1,899만원"
978,기아,스포티지 4세대 디젤 2.0 2WD 프레스티지,17/09식(18년형),"93,595km","1,390만원"
979,현대,팰리세이드 (LX3) HEV 2.5T 2WD 9인승 익스클루시브,25/04식(26년형),500km,75만원
980,현대,그랜저 IG 2.4 프리미엄 스페셜,17/06식(18년형),"88,340km","1,520만원"
981,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,20/06식(21년형),"33,492km","4,050만원"
982,기아,더 뉴 카니발 4세대 HEV 9인승 그래비티,25/04식,500km,74만원
983,링컨,뉴 MKZ 하이브리드 2세대,18/10식,"68,207km","1,690만원"
984,현대,코나 디젤 1.6 2WD 모던 아트,18/04식,"92,697km","1,195만원"
985,현대,코나 일렉트릭 모던,20/03식,"58,165km","1,899만원"
986,지프,체로키(KL) 2.4 리미티드 AWD,20/06식,"37,434km","2,330만원"
987,아우디,Q5 (FY) 40 TDI 콰트로 프리미엄,20/08식,"51,177km","2,780만원"
988,제네시스,일렉트리파이드 GV70 e-AWD,22/08식,"25,830km","6,350만원"
989,BMW,3시리즈 (F30) 320i M 스포츠,16/10식,"67,285km","2,010만원"
990,BMW,5시리즈 (G30) 530i M 스포츠,22/03식,"50,119km","5,900만원"
991,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,21/01식,"94,578km","2,400만원"
992,크라이슬러,더 뉴 300C 3.6,12/06식,"162,161km",477만원
993,기아,올 뉴 카니발 9인승 프레스티지,16/01식,"96,727km","1,250만원"
994,BMW,5시리즈 (F10) 520d xDrive,14/10식(15년형),"142,280km","1,280만원"
995,벤츠,뉴 SLK-클래스 200 블루이피션시 R172,16/04식,"45,799km","1,599만원"
996,기아,더 뉴 프라이드 4DR 1.4 MPI 트렌디,15/02식,"53,604km",599만원
997,제네시스,GV70 2.5T 가솔린 2WD,25/01식,"1,290km","5,990만원"
998,르노코리아(삼성),QM6 디젤 2WD RE 시그니처,17/08식,"120,632km","1,120만원"
999,포르쉐,718 카이맨 4.0 GTS,21/05식,"17,489km","9,400만원"
1000,벤츠,E-클래스 W212 E220 CDI 아방가르드,12/09식(13년형),"369,495km",499만원
1001,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 디젤 2.2 4WD 쿨멘 프레스티지,24/07식,"4,867km","3,050만원"
1002,기아,더 뉴 카니발 9인승 노블레스 스페셜,19/03식,"58,058km","2,300만원"
1003,기아,모닝 어반 (JA) 밴 스페셜,20/09식(21년형),"79,155km",650만원
1004,기아,모닝 어반 (JA) 밴 스페셜,20/09식(21년형),"62,671km",680만원
1005,폭스바겐,아테온 2.0 TDI 프레스티지,23/12식,"17,986km","3,930만원"
1006,제네시스,EQ900 3.8 GDI AWD 프레스티지,18/01식,"98,287km","3,290만원"
1007,쉐보레(GM대우),트랙스 크로스오버 1.2 LS 플러스,24/03식,"23,179km","1,750만원"
1008,현대,아이오닉5 롱레인지 AWD 프레스티지,22/03식,"35,611km","3,699만원"
1009,기아,올 뉴 모닝 디럭스 트렌디,14/07식(15년형),"56,285km",530만원
1010,기아,올 뉴 카니발 가솔린 9인승 노블레스,17/08식(18년형),"122,235km","1,450만원"
1011,제네시스,G80 (RG3) 가솔린 2.5 터보 2WD,21/10식(22년형),"69,565km","3,655만원"
1012,기아,더 뉴 모하비 디젤 3.0 4WD 프레지던트,17/06식(18년형),"136,664km","1,830만원"
1013,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,20/09식,"139,747km","1,320만원"
1014,제네시스,GV80 3.5T 가솔린 AWD,24/01식,"12,187km","7,760만원"
1015,기아,모하비 더 마스터 디젤 3.0 4WD 5인승 마스터즈 그래비티,22/07식,"68,070km","4,540만원"
1016,기아,올 뉴 카니발 가솔린 9인승 노블레스,16/08식(17년형),"99,882km","1,520만원"
1017,기아,스팅어 마이스터 3.3 GT AWD,22/12식(23년형),"37,108km","9,999만원"
1018,현대,더 뉴 그랜저 IG 2.5 프리미엄,21/02식,"130,229km","1,850만원"
1019,제네시스,더 뉴 G70 가솔린 2.0T 2WD,21/05식,"56,268km","3,149만원"
1020,KG모빌리티(쌍용),렉스턴 스포츠 칸 디젤 2.2 4WD 프로페셔널 S (5링크),19/05식,"116,061km","1,990만원"
1021,기아,카니발 4세대 9인승 시그니처,21/05식,"86,988km","2,850만원"
1022,아우디,A6 (C8) 40 TDI,20/10식,"64,254km","3,350만원"
1023,기아,더 뉴 카니발 4세대 HEV 9인승 하이리무진 노블레스,24/05식(25년형),"35,540km","5,699만원"
1024,KG모빌리티(쌍용),뷰티풀 코란도 디젤 1.6 2WD 판타스틱,19/04식,"67,076km","1,420만원"
1025,현대,투싼 (NX4) 디젤 2.0 2WD 프리미엄,22/12식(23년형),"55,601km","9,999만원"
1026,벤츠,E-클래스 W213 E450 4MATIC 카브리올레,21/06식,"39,450km","7,300만원"
1027,미니,쿠퍼 5도어 기본형 3세대,21/03식,"40,148km","1,860만원"
1028,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,23/06식(24년형),"7,684km","6,299만원"
1029,기아,스팅어 마이스터 3.3 GT AWD 마스터즈 터보 패키지,20/10식(21년형),"44,080km","3,490만원"
1030,기아,더 뉴 쏘렌토 디젤 2.2 2WD 마스터 스페셜,19/06식(20년형),"73,119km","2,420만원"
1031,기아,더 K9 3.8 GDI AWD 베스트 셀렉션Ⅰ,21/04식,"137,186km","2,540만원"
1032,기아,K7 프리미어 3.0 GDI 노블레스,19/07식(20년형),"91,935km","2,200만원"
1033,미니,쿠퍼 컨트리맨 기본형 2세대,20/05식,"31,820km","1,990만원"
1034,현대,LF 쏘나타 LPI 프리미엄,15/03식,"149,592km",880만원
1035,기아,더 뉴 카니발 가솔린 9인승 하이리무진 노블레스 스페셜,20/01식,"48,275km","2,699만원"
1036,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"112,403km","2,930만원"
1037,기아,올 뉴 쏘렌토 디젤 2.0 2WD 노블레스 스페셜,17/02식,"63,177km","1,730만원"
1038,현대,더 뉴 그랜저 IG 3.0 LPi 프리미엄 초이스,20/03식,"63,833km","1,999만원"
1039,기아,올 뉴 K3 럭셔리,19/03식,"97,844km","1,200만원"
1040,기아,EV6 롱레인지 GT Line,22/12식(23년형),"35,931km",65만원
1041,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/03식,"79,331km","2,400만원"
1042,기아,더 뉴 쏘렌토 디젤 2.2 2WD 노블레스 스페셜,17/11식(18년형),"84,907km","1,950만원"
1043,현대,아이오닉5 롱레인지 프레스티지,22/08식(23년형),"88,264km",61만원
1044,벤츠,GLA-클래스 X156 GLA250 4MATIC,19/09식,"40,639km","2,450만원"
1045,현대,그랜저 IG 3.0 익스클루시브,17/01식,"59,265km","1,790만원"
1046,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/06식,"176,172km","3,230만원"
1047,기아,EV6 롱레인지 4WD 라이트,22/04식,"70,889km",47만원
1048,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 프레스티지,18/01식,"164,550km","1,360만원"
1049,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션,23/05식(24년형),"14,028km","2,470만원"
1050,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 헤리티지,17/11식(18년형),"87,833km","1,750만원"
1051,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 마스터즈 그래비티,22/06식,"78,319km","5,660만원"
1052,기아,K7 프리미어 하이브리드 노블레스,20/01식,"124,695km","1,880만원"
1053,기아,쏘렌토 4세대 HEV 1.6 4WD 시그니처,22/11식(23년형),"95,136km","4,090만원"
1054,포르쉐,718 카이맨 4.0 GTS,21/04식,"36,000km","8,600만원"
1055,기아,더 뉴 기아 레이 밴 2인승 프레스티지 스페셜,22/09식(23년형),"43,741km","1,290만원"
1056,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,22/04식,"36,828km","4,370만원"
1057,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,15/10식(16년형),"75,631km","1,380만원"
1058,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,20/06식(21년형),"74,728km","2,850만원"
1059,기아,K8 3.5 LPG 2WD 노블레스,21/07식(22년형),"77,992km","2,850만원"
1060,현대,아이오닉5 롱레인지 프레스티지,22/06식,"85,113km","2,800만원"
1061,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,11/02식,"172,733km",990만원
1062,폭스바겐,파사트 GT(B8) 2.0 TDI 프레스티지,18/04식,"55,150km","1,850만원"
1063,기아,K3 트렌디,13/08식,"73,059km",690만원
1064,현대,아반떼 AD 1.6 e-VGT 스마트,18/08식,"99,255km",850만원
1065,기아,더 뉴 K9 2세대 3.8 GDI AWD 베스트 셀렉션 Ⅰ,23/02식,"15,005km","4,800만원"
1066,현대,더 뉴 그랜저 IG 2.5 르블랑,21/12식(22년형),"33,997km","2,500만원"
1067,기아,K5 하이브리드 3세대 노블레스,20/09식,"23,711km","2,480만원"
1068,현대,더 뉴 그랜저 IG 하이브리드 프리미엄 초이스,21/01식,"100,591km","2,420만원"
1069,기아,올 뉴 K7 3.0 LPI 럭셔리 (렌터카),17/05식,"139,301km","1,170만원"
1070,현대,싼타페 DM 디젤(e-VGT) 2.0 2WD 프리미엄,13/04식,"78,580km","1,290만원"
1071,기아,더 뉴 카니발 가솔린 9인승 노블레스 스페셜,19/06식,"73,716km","2,300만원"
1072,현대,더 뉴 그랜저 IG 2.5 익스클루시브,21/04식,"102,505km","2,090만원"
1073,기아,더 뉴 기아 레이 시그니처,25/01식,965km,"1,850만원"
1074,현대,팰리세이드 가솔린 3.8 4WD 프레스티지,21/11식(22년형),"78,243km","2,740만원"
1075,재규어,F-TYPE 3.0 S 쿠페 X152,15/01식,"147,878km","2,650만원"
1076,기아,카니발 4세대 9인승 프레스티지,21/05식,"192,397km","1,990만원"
1077,제네시스,GV60 스탠다드,23/05식,"49,606km",77만원
1078,렉서스,뉴 ES350 슈프림 XV60,16/10식,"53,853km","2,290만원"
1079,제네시스,G80 3.3 GDI 럭셔리,18/01식,"217,430km","1,030만원"
1080,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/12식(22년형),"84,481km","3,630만원"
1081,기아,더 뉴 레이 밴 프레스티지 스페셜(1인승),22/07식,"20,420km",960만원
1082,기아,더 뉴 레이 럭셔리,20/04식,"151,329km",780만원
1083,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"72,240km",620만원
1084,기아,니로 럭셔리,16/10식(17년형),"77,314km","1,230만원"
1085,기아,쏘렌토 4세대 HEV 1.6 2WD 프레스티지,21/12식(22년형),"104,267km","2,560만원"
1086,기아,카니발 4세대 가솔린 9인승 시그니처,20/10식(21년형),"57,170km","3,050만원"
1087,기아,올 뉴 K3 럭셔리,18/06식(19년형),"66,920km",990만원
1088,기아,올 뉴 모닝 디럭스 트렌디,15/01식,"82,265km",390만원
1089,기아,모닝 어반 (JA) 밴 스페셜,20/12식(21년형),"23,409km",750만원
1090,기아,올 뉴 K3 트렌디,19/06식,"56,535km","1,150만원"
1091,현대,스타리아 카고 3인승 모던,24/01식,326km,52만원
1092,르노코리아(삼성),SM6 2.0 LPe SE (렌터카),20/02식,"126,354km",750만원
1093,현대,더 뉴 아반떼 AD 1.6 스마트,20/01식,"100,119km","1,260만원"
1094,기아,더 뉴 카니발 9인승 프레스티지,20/01식,"101,011km","1,879만원"
1095,기아,카니발 4세대 9인승 노블레스,21/08식(22년형),"150,212km","2,400만원"
1096,닷지,램픽업 5.7,22/02식,"29,703km","8,850만원"
1097,현대,그랜저 (GN7) 3.5 LPG 2WD 프리미엄,23/01식,"56,807km","2,990만원"
1098,현대,스타리아 투어러 11인승 모던,23/08식,"58,965km","2,530만원"
1099,기아,셀토스 디젤 1.6 2WD 프레스티지,21/11식(22년형),"63,696km","8,888만원"
1100,현대,아반떼 (CN7) 1.6 스마트,22/07식(23년형),"59,290km","1,670만원"
1101,현대,스타리아 카고 5인승 모던,22/10식(23년형),"62,352km","2,270만원"
1102,기아,스포티지 더 볼드 디젤 2.0 2WD 프레스티지,20/07식,"103,139km",33만원
1103,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,21/07식(22년형),"74,078km","9,999만원"
1104,현대,LF 쏘나타 LPI 택시형 스타일,15/01식,"187,345km",429만원
1105,KG모빌리티(쌍용),렉스턴 스포츠 칸 디젤 2.2 4WD 노블레스 (5링크),19/12식(20년형),"56,769km","2,170만원"
1106,기아,카니발 4세대 9인승 프레스티지,21/06식,"183,792km","1,850만원"
1107,기아,카니발 4세대 9인승 프레스티지,21/07식,"63,291km","2,600만원"
1108,현대,그랜드 스타렉스 12인승 왜건 CVX 럭셔리,15/05식(16년형),"181,881km","1,070만원"
1109,아우디,뉴 A6 55 TDI 콰트로 스포츠 C7,16/02식,"180,103km","1,990만원"
1110,기아,EV6 롱레인지 에어,21/11식(22년형),"90,001km","2,700만원"
1111,기아,카니발 4세대 9인승 시그니처,21/06식,"60,888km","3,030만원"
1112,링컨,에비에이터 2세대 3.0 블랙라벨 AWD,23/12식,"5,905km","7,650만원"
1113,기아,카니발 4세대 7인승 시그니처,22/06식(23년형),"79,988km","3,500만원"
1114,현대,그랜저 IG 2.4 익스클루시브 스페셜,19/03식,"142,275km","1,390만원"
1115,기아,더 뉴 니로 1.6 HEV 트렌디,21/12식(22년형),"46,012km","1,800만원"
1116,기아,K5 3세대 2.0 LPI(렌터카용) 트렌디,20/09식,"139,747km",29만원
1117,제네시스,G90 3.8 AWD 프리미엄 럭셔리,21/05식,"158,632km","4,380만원"
1118,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/05식,"110,688km","3,300만원"
1119,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/05식,"102,901km","2,670만원"
1120,기아,K8 하이브리드 시그니처,21/06식(22년형),"85,709km","3,250만원"
1121,제네시스,G90 3.8 럭셔리,20/04식,"96,042km","3,290만원"
1122,BMW,1시리즈 (F20) 118d 스포츠 5도어,16/12식,"94,957km","1,450만원"
1123,기아,더 뉴 쏘렌토 4세대 HEV 1.6 2WD 시그니처,24/05식,"15,985km","4,690만원"
1124,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,20/08식(21년형),"103,729km","2,200만원"
1125,볼보,S90 B5 인스크립션,20/10식(21년형),"95,618km","3,290만원"
1126,벤츠,E-클래스 W213 E300e 4MATIC 익스클루시브,21/10식,"45,534km","4,949만원"
1127,기아,더 K9 3.8 GDI AWD 플래티넘Ⅱ,19/07식,"48,234km","2,950만원"
1128,기아,셀토스 가솔린 1.6 터보 2WD 시그니처,21/05식(22년형),"36,099km",31만원
1129,기아,EV6 롱레인지 어스,21/09식(22년형),"93,766km","2,690만원"
1130,현대,더 뉴 팰리세이드 가솔린 3.8 2WD 캘리그래피,22/12식(23년형),"10,442km","3,870만원"
1131,현대,더 뉴 아반떼 AD 1.6 스마트 초이스,20/02식,"119,465km","1,090만원"
1132,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,21/08식(22년형),"127,059km","1,400만원"
1133,기아,스포티지 4세대 디젤 2.0 2WD 노블레스,16/10식(17년형),"107,683km","1,340만원"
1134,현대,아반떼 하이브리드 (CN7) 스마트,21/07식,"9,377km","1,570만원"
1135,아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,23/10식,"22,203km","5,450만원"
1136,벤츠,E-클래스 W213 E300e 4MATIC 익스클루시브,22/03식,"39,838km","5,050만원"
1137,쉐보레(GM대우),리얼 뉴 콜로라도 3.6 Z71-X 미드나잇 4WD,21/01식,"93,782km","2,640만원"
1138,현대,더 뉴 아반떼 1.6 GDi 스마트 기본형,15/07식(16년형),"58,360km",640만원
1139,현대,투싼 (NX4) 가솔린 1.6 터보 2WD 인스퍼레이션,23/02식,"27,431km","2,650만원"
1140,아우디,Q5 (FY) 45 TFSI 콰트로 프리미엄,23/01식,"37,772km","6,370만원"
1141,포드,F150 3.5L,14/12식,"125,406km","3,550만원"
1142,마세라티,기블리 3.0 스포츠 3세대,17/07식,"64,221km","2,390만원"
1143,인피니티,M37 스탠다드 Y51,10/09식(11년형),"148,023km",459만원
1144,현대,싼타페 DM 디젤(e-VGT) 2.0 2WD 모던,12/06식(13년형),"74,227km",990만원
1145,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스마트,21/09식(22년형),"92,371km","1,590만원"
1146,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,23/08식(24년형),"22,623km",102만원
